SKU,Product_ID,Outstanding_Qty
,4198696000025078498,6
,4198696000025858358,4
,4198696000023394858,3
,4198696000023394862,3
,4198696000023394870,2
,4198696000023394874,3
,4198696000023394876,4
,4198696000023394888,2
,4198696000028254793,4
,4198696000028254791,2
,4198696000031075491,2
,4198696000028254904,5
,4198696000029939382,3
,4198696000033508479,2
,4198696000033508503,2
,4198696000033508519,2
,4198696000033508459,2
,4198696000033508531,2
,4198696000033508939,4
,4198696000033508642,1
,4198696000032489300,4
,4198696000032489294,10
,4198696000031854664,24
,4198696000033508690,2
,4198696000033508969,1
,4198696000033508967,1
,4198696000033508965,2
,4198696000023401829,2
,4198696000023405011,2
,4198696000032048487,1
,4198696000028254714,2
,4198696000028254718,2
,4198696000029035939,2
,4198696000033508471,1
,4198696000033508487,2
,4198696000033508511,2
,4198696000033508507,3
,4198696000033508469,1
,4198696000033508465,10
,4198696000033508473,2
,4198696000033508513,2
,4198696000033508529,2
,4198696000033508644,1
,4198696000033508428,12
,4198696000031854718,2
,4198696000033508684,2
,4198696000026586271,2
,4198696000028254858,4
,4198696000028254862,4
,4198696000031075489,20
,4198696000033508937,2
,4198696000033508713,2
,4198696000033508721,1
,4198696000033508814,3
,4198696000033508846,3
,4198696000033508848,1
,4198696000033508828,4
,4198696000033508860,1
,4198696000033508866,1
,4198696000032489288,4
,4198696000032489312,4
,4198696000032489308,4
,4198696000032489316,4
,4198696000032489298,4
,4198696000032489318,4
,4198696000032489389,2
,4198696000032489397,1
,4198696000032489463,4
,4198696000033508758,4
,4198696000033508760,4
,4198696000025078267,3
,4198696000025078269,5
,4198696000023401835,2
,4198696000028303548,3
,4198696000032048495,1
,4198696000032048499,1
,4198696000030019715,5
,4198696000033508854,2
,4198696000033508862,2
,4198696000033508876,1
,4198696000032489393,2
,4198696000032489399,1
,4198696000033508772,4
,4198696000025078261,2
,4198696000025078263,3
,4198696000023401831,1
,4198696000023401833,2
,4198696000028254872,6
,4198696000028254876,2
,4198696000028254866,4
,4198696000028254874,4
,4198696000031075531,1
,4198696000028254730,3
,4198696000028254716,2
,4198696000028254712,2
,4198696000028254728,2
,4198696000033508646,1
,4198696000033508816,2
,4198696000033508840,2
,4198696000033508818,5
,4198696000033508858,1
,4198696000033508874,2
,4198696000032489465,2
,4198696000032489395,4
,4198696000033508770,4
,4198696000033508774,2
,4198696000033508768,4
,4198696000023401827,4
,4198696000024423148,3
,4198696000028254789,2
,4198696000028254696,2
,4198696000028254868,6
,4198696000028254787,1
,4198696000028254795,4
,4198696000032909288,1
,4198696000028389715,2
,4198696000033033505,1
,4198696000033508463,1
,4198696000033508475,2
,4198696000033508491,2
,4198696000033508929,2
,4198696000033508477,2
,4198696000033508931,3
,4198696000033508449,2
,4198696000033508489,1
,4198696000033508935,3
,4198696000033508688,3
,4198696000033508961,1
,4198696000033508971,3
,4198696000025078574,4
,4198696000025078576,5
,4198696000023394854,2
,4198696000023394866,3
,4198696000023394868,3
,4198696000023394872,3
,4198696000023394880,2
,4198696000023394886,2
,4198696000026586269,1
,4198696000028567827,3
,4198696000029035150,1
,4198696000031083343,2
,4198696000028254724,3
,4198696000029939384,2
,4198696000029939380,3
,4198696000033508797,2
,4198696000033508878,1
,4198696000032489286,4
,4198696000032489310,4
,4198696000023401855,2
,4198696000028572373,1
,4198696000028958646,7
,4198696000031075121,1
,4198696000033508467,10
,4198696000033508499,3
,4198696000033508515,2
,4198696000033508501,1
,4198696000033508517,2
,4198696000033508505,2
,4198696000032489292,10
,4198696000032489290,4
,4198696000033508674,4
,4198696000026928107,1
,4198696000031075113,2
,4198696000028567867,10
,4198696000032909290,1
,4198696000033508455,3
,4198696000033508495,4
,4198696000033508443,2
,4198696000033508525,2
,4198696000033508521,2
,4198696000033508715,2
,4198696000033508719,2
,4198696000033508717,1
,4198696000032489306,4
,4198696000026586302,5
,4198696000025858356,6
,4198696000027288765,4
,4198696000027288763,2
,4198696000023394860,3
,4198696000023394864,5
,4198696000023394878,2
,4198696000032048558,1
,4198696000032048489,1
,4198696000031075242,2
,4198696000028558900,1
,4198696000028910068,4
,4198696000032220667,5
,4198696000028731081,2
,4198696000028254906,5
,4198696000028254910,4
,4198696000033508650,1
,4198696000033508830,4
,4198696000033508812,1
,4198696000033508834,1
,4198696000025078874,3
,4198696000029939531,2
,4198696000031075485,20
,4198696000031075487,4
,4198696000028389713,2
,4198696000028389711,2
,4198696000033508451,2
,4198696000033508523,2
,4198696000033508445,2
,4198696000033508493,2
,4198696000033508481,2
,4198696000033508682,2
,4198696000033508959,1
,4198696000033508963,2
,4198696000023394815,6
,4198696000028910045,4
,4198696000029035152,1
,4198696000028254856,4
,4198696000028254864,4
,4198696000028254690,1
,4198696000028254870,4
,4198696000029939533,2
,4198696000028254722,2
,4198696000028254734,3
,4198696000029822710,2
,4198696000033508822,1
,4198696000033508838,2
,4198696000033508870,2
,4198696000033508824,1
,4198696000033508832,1
,4198696000025078265,3
,4198696000023401857,2
,4198696000032048556,1
,4198696000032048497,1
,4198696000032048493,1
,4198696000031075115,2
,4198696000031075117,2
,4198696000033508864,1
,4198696000033508872,6
,4198696000033508844,3
,4198696000033508826,2
,4198696000025858354,4
,4198696000031080814,1
,4198696000031075119,3
,4198696000028254860,8
,4198696000029326318,1
,4198696000033508856,1
,4198696000033508880,4
,4198696000033508820,1
,4198696000033508836,1
,4198696000033508852,2
,4198696000033508868,3
,4198696000033508842,2
,4198696000033508850,1
,4198696000032489304,4
,4198696000032489302,4
,4198696000032489461,2
,4198696000032489391,2
,4198696000033508762,8
,4198696000033508764,1
,4198696000033508766,1
,4198696000025078506,6
,4198696000025078500,6
,4198696000023394856,5
,4198696000023401825,2
,4198696000023405013,2
,4198696000032048560,1
,4198696000032048491,1
,4198696000028303432,3
,4198696000028254732,2
,4198696000028254438,5
,4198696000028254720,2
,4198696000033508447,2
,4198696000033508527,6
,4198696000033508509,2
,4198696000033508457,3
,4198696000033508497,2
,4198696000033508652,1
,4198696000033508415,20
,4198696000033508686,2
,4198696000033575001,2
,4198696000025858508,5
,4198696000025858506,4
,4198696000023394882,2
,4198696000023394884,2
,4198696000028254692,2
,4198696000028254694,2
,4198696000028254878,2
,4198696000028254726,3
,4198696000028254736,3
,4198696000028254908,5
,4198696000029939378,4
,4198696000033508933,6
,4198696000033508483,2
,4198696000033508453,2
,4198696000033508461,2
,4198696000033508485,4
,4198696000033508640,1
,4198696000033508648,2
,4198696000033508638,1
,4198696000032489296,4
,4198696000032489284,5
,4198696000032489314,4
,4198696000031854703,2
,4198696000033508680,1
,4198696000033508676,2
